Change Component DesignItemId : Designator=C23 Old DesignItemId=ESW227M025AG3AA New DesignItemId=ESH477M010AG3AA
Change Component Comment : Designator=C23 Old Comment=220 µF New Comment=470 µF
Change Component Description : Designator=C23 Old Description=CAP ALUM 220UF 20% 25V RADIAL New Description=CAP ALUM 470UF 20% 10V RADIAL
Change component parameters: Designator = "C23" ("C23"); Footprint = "CAP AL TH D8 L3.5 H12.5"; UniqueID = "\UHHGHFVM" ("\UHHGHFVM")
Change component parameters (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "470 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://api.kemet.com/component-edge/download/datasheet/ESH477M010AG3AA.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/kemet/ESH477M010AG3AA/13176193"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.492" (12.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "11.07.2022 15:34:42"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "0.138" (3.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime @ Temp."; Value = "2000 Hrs @ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "Box"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "ESH477M010AG3AA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "27002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarization"; Value = "Polar"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current @ High Frequency"; Value = "457.5 mA @ 10 kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current @ Low Frequency"; Value = "305 mA @ 120 Hz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "ESH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.315" Dia (8.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "399-ESH477M010AG3AA-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "value"; Value = "470 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "10 V"; VariantName = "[No Variations]"
